listing_id,review_id,date,reviewer_id
11798,330265172,30-09-2018,11863072
15383,330103585,30-09-2018,39147453
16455,329985788,30-09-2018,1125378
17919,330016899,30-09-2018,172717984
26827,329995638,30-09-2018,17542859
74561,330089224,30-09-2018,173044789
140355,330194958,30-09-2018,160093807
162163,329980859,30-09-2018,94026758
167998,329950677,30-09-2018,35388162
178188,330213008,30-09-2018,3652511
232956,330140226,30-09-2018,57664145
266725,330038354,30-09-2018,77387165
314288,330299075,30-09-2018,192717587
325880,330081449,30-09-2018,154527568
335003,329968377,30-09-2018,3461699
348747,330131287,30-09-2018,9554201
352851,330201364,30-09-2018,142182690
378714,330246144,30-09-2018,15772951
406852,330283854,30-09-2018,35469963
406891,330095252,30-09-2018,187332701
411911,330062803,30-09-2018,19449127
432800,329972422,30-09-2018,71320684
437586,330161370,30-09-2018,169113770
455974,330155419,30-09-2018,193998419
461860,330235640,30-09-2018,190994961
474684,330085312,30-09-2018,71820296
502895,329972521,30-09-2018,164483989
534650,330309756,30-09-2018,164623896
539722,330163176,30-09-2018,124656247
554569,330034351,30-09-2018,41468333
557246,330252383,30-09-2018,22186752
566186,330171067,30-09-2018,22149882
567001,330229129,30-09-2018,216943765
574232,330267281,30-09-2018,57632247
576992,330059001,30-09-2018,35313825
584183,330008567,30-09-2018,95393537
600105,330093697,30-09-2018,43356025
603577,330294256,30-09-2018,173053299
604141,330307859,30-09-2018,55373521
607523,330034852,30-09-2018,21422200
637100,330102069,30-09-2018,47624868
708918,330215396,30-09-2018,131122156
726995,330116960,30-09-2018,16948904
728737,330291941,30-09-2018,6780061
729422,330236022,30-09-2018,64268499
731081,330003139,30-09-2018,173021055
745338,329989466,30-09-2018,102436394
748166,330234742,30-09-2018,96438238
751281,330112874,30-09-2018,57582629
759948,330036480,30-09-2018,112089073
765956,330291468,30-09-2018,119159983
780445,330180944,30-09-2018,198424451
784863,330311087,30-09-2018,64308521
788259,330048848,30-09-2018,47744778
796137,330110639,30-09-2018,69142170
851420,330042722,30-09-2018,9919365
858040,330218270,30-09-2018,5786670
868617,330241143,30-09-2018,39906708
870218,330010695,30-09-2018,8656864
878992,330310377,30-09-2018,30199938
881789,330051081,30-09-2018,30356475
882305,330002446,30-09-2018,51081628
884526,330145064,30-09-2018,153703765
885018,329985308,30-09-2018,16077367
917795,330097320,30-09-2018,148492148
923351,330279264,30-09-2018,65222568
938461,330281033,30-09-2018,39719947
968579,329993862,30-09-2018,36216699
968690,330103082,30-09-2018,139919317
982720,330062349,30-09-2018,107472603
1002341,330165392,30-09-2018,111387279
1040638,330103953,30-09-2018,8190376
1052699,330254010,30-09-2018,194113336
1055486,330059018,30-09-2018,87542683
1097289,330154927,30-09-2018,56794850
1110935,330151923,30-09-2018,9173212
1123466,330093146,30-09-2018,69291514
1126838,330059746,30-09-2018,79305849
1154909,330258847,30-09-2018,16938610
1170113,330074359,30-09-2018,110595145
1173475,330101608,30-09-2018,194153158
1182138,330258279,30-09-2018,49104042
1228668,330094685,30-09-2018,202786548
1237847,330107738,30-09-2018,189432529
1314131,329982271,30-09-2018,27257802
1329814,330187434,30-09-2018,9997128
1350726,330017761,30-09-2018,117665700
1362667,329989839,30-09-2018,4831117
1374199,330258465,30-09-2018,18459091
1383568,330076867,30-09-2018,3182488
1409682,330245951,30-09-2018,24972680
1410402,330154000,30-09-2018,62581039
1418519,330181507,30-09-2018,1947307
